Venue Name,Phone Number,Website Address,Physical Address,City,State,Hours of Operation,PokerAtlas URL,Successfully Scraped,Notes/Source of Truth
"Chasers Card Room","(907) 277-2437","https://chasersak.com","2015 E 5th Ave, Anchorage, AK 99501, Anchorage, AK","Anchorage","AK","10am-2am | 10am-2am","https://www.pokeratlas.com/poker-room/chasers-card-room/tournaments",No,"URL needs verification"
"Diamond Lil Card Room","(907) 272-1010","https://diamondlilak.com","507 W 3rd Ave, Anchorage, AK 99501, Anchorage, AK","Anchorage","AK","10am-2am | 10am-2am","https://www.pokeratlas.com/poker-room/diamond-lil-card-room/tournaments",No,"URL needs verification"
"Juneau Card Room","(907) 586-1234","https://juneaucards.com","234 Front St, Juneau, AK 99801, Juneau, AK","Juneau","AK","4pm-12am | 2pm-2am","https://www.pokeratlas.com/poker-room/juneau-card-room/tournaments",No,"URL needs verification"
"Last Frontier Poker","(907) 474-1234","https://lastfrontierpoker.com","3615 Airport Way, Fairbanks, AK 99709, Fairbanks, AK","Fairbanks","AK","12pm-12am | 12pm-2am","https://www.pokeratlas.com/poker-room/last-frontier-poker/tournaments",No,"URL needs verification"
"Oaklawn Casino Resort","(501) 623-6600","https://oaklawn.com","150 Central Ave, Hot Springs, AR 71901, Hot Springs, AR","Hot Springs","AR","9am-3am | 24 Hours","https://www.pokeratlas.com/poker-room/oaklawn-racing-casino-resort/tournaments",No,"URL verified - pending scrape"
"Oaklawn Racing Casino","(501) 623-4411","https://oaklawn.com","2705 Central Ave, Hot Springs, AR 71901, Hot Springs, AR","Hot Springs","AR","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/oaklawn-racing-casino/tournaments",No,"URL needs verification"
"Saracen Casino","(870) 686-5800","https://saracencasino.com","1 Saracen Resort Dr, Pine Bluff, AR 71601, Pine Bluff, AR","Pine Bluff","AR","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/saracen-casino/tournaments",No,"URL needs verification"
"Saracen Casino Resort","(870) 686-9001","https://saracenresort.com/poker","1 Saracen Resort Drive, Pine Bluff, AR 71601, Pine Bluff, AR","Pine Bluff","AR","Thu-Mon 10AM-4AM (Closed Tue-Wed) | 9:00 AM - Last Game","https://www.pokeratlas.com/poker-room/saracen-casino-resort/tournaments",No,"Scrape failed - needs retry"
"Southland Casino Racing","(870) 735-3670","https://southlandcasino.com","1550 N Ingram Blvd, West Memphis, AR 72301, West Memphis, AR","West Memphis","AR","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/southland-casino-hotel/tournaments",No,"URL verified - pending scrape"
"Apache Gold Casino","(928) 475-7800","https://apachegoldcasinoresort.com","US-70 Mile Marker 261, San Carlos, AZ 85550, San Carlos, AZ","San Carlos","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/apache-gold-casino/tournaments",No,"URL needs verification"
