Venue Name,City,State,Venue Website,Verified,PokerAtlas URL,Status
"Chasers Card Room","Anchorage","AK","https://chasersak.com",NO,"https://www.pokeratlas.com/poker-room/chasers-card-room/tournaments","ready"
"Diamond Lil Card Room","Anchorage","AK","https://diamondlilak.com",NO,"https://www.pokeratlas.com/poker-room/diamond-lil-card-room/tournaments","ready"
"Juneau Card Room","Juneau","AK","https://juneaucards.com",NO,"https://www.pokeratlas.com/poker-room/juneau-card-room/tournaments","ready"
"Last Frontier Poker","Fairbanks","AK","https://lastfrontierpoker.com",NO,"https://www.pokeratlas.com/poker-room/last-frontier-poker/tournaments","ready"
"Oaklawn Casino Resort","Hot Springs","AR","https://oaklawn.com",YES,"https://www.pokeratlas.com/poker-room/oaklawn-racing-casino-resort/tournaments","no_data"
"Oaklawn Racing Casino","Hot Springs","AR","https://oaklawn.com",NO,"https://www.pokeratlas.com/poker-room/oaklawn-racing-casino/tournaments","ready"
"Saracen Casino","Pine Bluff","AR","https://saracencasino.com",NO,"https://www.pokeratlas.com/poker-room/saracen-casino/tournaments","ready"
"Saracen Casino Resort","Pine Bluff","AR","https://saracenresort.com/poker",YES,"https://www.pokeratlas.com/poker-room/saracen-casino-resort/tournaments","no_data"
"Southland Casino Racing","West Memphis","AR","https://southlandcasino.com",YES,"https://www.pokeratlas.com/poker-room/southland-casino-hotel/tournaments","no_data"
"Apache Gold Casino","San Carlos","AZ","https://apachegoldcasinoresort.com",NO,"https://www.pokeratlas.com/poker-room/apache-gold-casino/tournaments","ready"
"Bluewater Casino","Parker","AZ","https://bluewatercasino.com",NO,"https://www.pokeratlas.com/poker-room/bluewater-casino/tournaments","no_data"
"Bucky's Casino","Prescott","AZ","https://buckyscasino.com",NO,"https://www.pokeratlas.com/poker-room/buckys-casino/tournaments","ready"
"Casino Arizona","Scottsdale","AZ","https://casinoarizona.com",YES,"https://www.pokeratlas.com/poker-room/casino-arizona/tournaments","no_data"
