VENUE,WEBSITE,ADDRESS,CITY,STATE,PHONE,TYPE,TOURNAMENTS,PokerAtlasURL,HOURS
Talking Stick Resort,talkingstickresort.com,9800 E Talking Stick Way,Scottsdale,AZ,(480) 850-7777,Casino,Yes,https://www.pokeratlas.com/poker-room/talking-stick-resort-scottsdale,24/7
Casino Del Sol,casinodelsol.com,5655 W Valencia Rd,Tucson,AZ,(855) 765-7829,Casino,Yes,https://www.pokeratlas.com/poker-room/casino-del-sol-tucson,Sun/Fri/Sat 10am-4am Mon-Thu 12pm-4am
Hon-Dah Casino,hon-dah.com,777 AZ-260,Pinetop,AZ,(928) 369-0299,Casino,Yes,https://www.pokeratlas.com/poker-room/hon-dah-casino-pinetop,4pm-TBD daily
Saracen Casino Resort,saracenresort.com,1 Saracen Resort Dr,Pine Bluff,AR,(870) 686-9001,Casino,Yes,https://www.pokeratlas.com/poker-room/saracen-casino-resort-pine-bluff,Not available
Commerce Casino,commercecasino.com,6131 Telegraph Rd,Commerce,CA,(323) 721-2100,Casino,Yes,https://www.pokeratlas.com/poker-room/commerce-casino-los-angeles,24/7
The Bicycle Hotel & Casino,thebike.com,888 Bicycle Casino Dr,Bell Gardens,CA,(562) 806-4646,Casino,Yes,https://www.pokeratlas.com/poker-room/bicycle-casino-bell-gardens,24/7
The Gardens Casino,thegardenscasino.com,11871 Carson St,Hawaiian Gardens,CA,(562) 860-5887,Casino,No,https://www.pokeratlas.com/poker-room/the-gardens-hawaiian-gardens,24/7
Hustler Casino,hustlercasino.com,1000 W Redondo Beach Blvd,Gardena,CA,(310) 719-9800,Casino,No,https://www.pokeratlas.com/poker-room/hustler-casino-gardena,24/7
Hollywood Park Casino,playhpc.com,3883 W Century Blvd,Inglewood,CA,(310) 330-2800,Casino,No,https://www.pokeratlas.com/poker-room/hollywood-park-inglewood,24/7
Crystal Casino,thecrystalcasino.com,123 E Artesia Blvd,Compton,CA,(310) 631-3838,Casino,No,https://www.pokeratlas.com/poker-room/crystal-casino-compton,Not available
Bay 101 Casino,bay101.com,1788 N First St,San Jose,CA,(408) 451-8888,Casino,Yes,https://www.pokeratlas.com/poker-room/bay-101-san-jose,24/7
