Name,Website,Address,City,State,Phone,Category
101 Poker Club,101pokerclub.com,"22410 Highland Knolls Dr",Katy,TX,(832) 913-6447,Standalone Card Room
52 Pick Up Social,-,-,Caddo Mills,TX,-,Standalone Card Room
9 Dragons,-,-,Houston,TX,-,Standalone Card Room
Ace 1 Social Club,-,-,Corpus Christi,TX,-,Standalone Card Room
Ace Card Club,-,-,San Antonio,TX,-,Standalone Card Room
Ace High Social,-,-,Burleson,TX,-,Standalone Card Room
Aggieland Poker Club,-,-,College Station,TX,-,Standalone Card Room
Alamo Card House 2,alamocardhouse.com,-,San Antonio,TX,(210) 900-2442,Standalone Card Room
Alpha Social Card Club,-,-,Wichita Falls,TX,-,Standalone Card Room
Amarillo Social Club,-,-,Amarillo,TX,-,Standalone Card Room
Bluefelt El Paso Card Club,-,-,El Paso,TX,-,Standalone Card Room
Broadway Social Club,-,-,Richmond,TX,-,Standalone Card Room
Bullets Card Club,bulletscardclub.com,"11900 Metric Blvd",Austin,TX,(512) 658-9488,Standalone Card Room
Comal Card Haus,-,-,New Braunfels,TX,-,Standalone Card Room
Crossroads Card House,-,-,Victoria,TX,-,Standalone Card Room
Doghouse Poker Club,-,-,Cypress,TX,-,Standalone Card Room
Elite Poker Lounge,-,-,McAllen,TX,-,Standalone Card Room
Empire Poker Club,empirepokerclub.com,"10815 W Sam Houston Pkwy N",Houston,TX,(832) 539-6593,Standalone Card Room
Fortune Poker Club,-,-,Houston,TX,-,Standalone Card Room
Gin Mill Card Club Farwell,-,-,Farwell,TX,-,Standalone Card Room
Gin Mill Card Club Lubbock,-,-,Lubbock,TX,-,Standalone Card Room
House of Kings Card Club,-,-,El Paso,TX,-,Standalone Card Room
Johny's Social Card Club,-,-,Wichita Falls,TX,-,Standalone Card Room
Jokers of Aggieland Poker Club,-,-,College Station,TX,-,Standalone Card Room
JokerStars Social Club,-,-,Houston,TX,-,Standalone Card Room
Katy Poker,-,-,Katy,TX,-,Standalone Card Room
KoJack's Poker Club,-,-,Midland,TX,-,Standalone Card Room
Lodge Card Club Austin,thelodgepokerclub.com,"1401 S IH 35 Frontage Rd",Round Rock,TX,(512) 614-4340,Standalone Card Room
Lone Star Social,-,-,Cedar Park,TX,-,Standalone Card Room
Lucky J Social Club,-,-,Houston,TX,-,Standalone Card Room
Matador Poker House,-,-,Lubbock,TX,-,Standalone Card Room
Oak Cliff Card Club,-,-,Dallas,TX,-,Standalone Card Room
On The River Social Club,-,-,San Marcos,TX,-,Standalone Card Room
Palace Poker,-,-,Grand Prairie,TX,-,Standalone Card Room
PH Social Club Dallas,-,-,Dallas,TX,-,Standalone Card Room
Poker 1,-,-,Odessa,TX,-,Standalone Card Room
Poker House Fort Worth,-,-,Burleson,TX,-,Standalone Card Room
PrymeTyme Poker House,-,-,Canton,TX,-,Standalone Card Room
Red Star Social,-,-,Austin,TX,-,Standalone Card Room
River Rats Poker Club,-,-,Navasota,TX,-,Standalone Card Room
Rustlers Poker Club,-,-,San Antonio,TX,-,Standalone Card Room
SA Card House,sacardhouse.com,"8407 Bandera Rd",San Antonio,TX,(210) 908-9669,Standalone Card Room
Shuffle 214,shuffle214.com,"11411 E Northwest Hwy",Dallas,TX,(214) 295-8861,Standalone Card Room
Shuffle 512,shuffle512.com,-,Austin,TX,-,Standalone Card Room
South Plains Social Club,-,-,Farwell,TX,-,Standalone Card Room
Spades Poker House,spadespoker.com,"302 W Bay Area Blvd",Webster,TX,(832) 284-4112,Standalone Card Room
Spades Poker House Baytown,-,-,Baytown,TX,-,Standalone Card Room
Sportsbook Bishop Arts,-,-,Dallas,TX,-,Standalone Card Room
Sun City Card Club,-,-,El Paso,TX,-,Standalone Card Room
TCH Social Austin,texascardhouse.com,-,Austin,TX,-,Standalone Card Room
TCH Social Las Colinas,texascardhouse.com,"955 W John Carpenter Fwy",Irving,TX,(469) 206-0810,Standalone Card Room
Texas Card House Dallas,texascardhouse.com,"11824 Webb Chapel Rd",Dallas,TX,(214) 272-7808,Standalone Card Room
Texas Card House Houston,texascardhouse.com,"1411 Spring Cypress Rd",Spring,TX,(281) 645-0010,Standalone Card Room
Texas Card House Rio Grande Valley,texascardhouse.com,"403 W Trento Rd",Edinburg,TX,(956) 386-1383,Standalone Card Room
Texas Card House Spring,texascardhouse.com,-,Spring,TX,-,Standalone Card Room
Texas Double Deuce Social Club,-,-,Burleson,TX,-,Standalone Card Room
Texline Card House,-,-,Texarkana,TX,-,Standalone Card Room
The Big Blind,-,-,San Antonio,TX,-,Standalone Card Room
The Club EPTX,-,-,El Paso,TX,-,Standalone Card Room
The Desperado Club,-,-,Fort Worth,TX,-,Standalone Card Room
The Fort Card Room,-,-,Aledo,TX,-,Standalone Card Room
The Hangar Poker House,-,-,Humble,TX,-,Standalone Card Room
The Office Card Room,-,-,San Antonio,TX,-,Standalone Card Room
The River League,-,-,San Angelo,TX,-,Standalone Card Room
The River Poker Club,-,-,Spring,TX,-,Standalone Card Room
The Royal Card Club,-,-,Brownwood,TX,-,Standalone Card Room
The Royal Card House of San Antonio,-,-,San Antonio,TX,-,Standalone Card Room
The Speakeasy Card Room,-,-,Gordon,TX,-,Standalone Card Room
The Wheel Social Club,-,-,Houston,TX,-,Standalone Card Room
The White Rabbit,-,-,San Antonio,TX,-,Standalone Card Room
VIP Social Club,-,-,Amarillo,TX,-,Standalone Card Room
West Texas Card House,-,-,Lubbock,TX,-,Standalone Card Room
Bankers Casino,bankerscasino.net,"111 Monterey St",Salinas,CA,(831) 422-6666,Standalone Card Room
Oceanview Casino,-,-,Santa Cruz,CA,-,Standalone Card Room
Outlaws Card Parlour,-,-,Atascadero,CA,-,Standalone Card Room
Casino Monterey - The Marina Club,-,-,Marina,CA,-,Standalone Card Room
Bay 101 Casino,bay101.com,"1788 N First St",San Jose,CA,(408) 451-8888,Standalone Card Room
Oaks Card Club,oakscardclub.com,"4097 San Pablo Ave",Emeryville,CA,(510) 653-4456,Standalone Card Room
Stones Gambling Hall,stonesgamblinghall.com,"6508 Antelope Rd",Citrus Heights,CA,(916) 735-8440,Standalone Card Room
Artichoke Joe's Casino,artichokejoes.com,"659 Huntington Ave",San Bruno,CA,(650) 589-3147,Standalone Card Room
Lucky Chances Casino,luckychances.com,"1700 Hillside Blvd",Colma,CA,(650) 758-2237,Standalone Card Room
Capitol Casino,capitol-casino.com,"411 N 16th St",Sacramento,CA,(916) 446-0700,Standalone Card Room
Limelight Card Room,limelightcardroom.com,"1014 Alhambra Blvd",Sacramento,CA,(916) 446-2208,Standalone Card Room
Kings Card Club,kingscardclub.com,"6111 West Ln",Stockton,CA,(209) 267-4567,Standalone Card Room
Parkwest Casino Cordova,parkwestcasinos.com,"2801 Prospect Park Dr",Rancho Cordova,CA,(916) 361-9186,Standalone Card Room
Parkwest Casino Lotus,parkwestcasinos.com,"6010 Stockton Blvd",Sacramento,CA,(916) 399-4929,Standalone Card Room
Parkwest Casino Lodi,parkwestcasinos.com,"1800 S Cherokee Ln",Lodi,CA,(209) 334-9777,Standalone Card Room
Casino M8trix,casinom8trix.com,"1887 Matrix Blvd",San Jose,CA,(408) 244-3333,Standalone Card Room
Casino 99,casino99chico.com,"175 E 20th St",Chico,CA,(530) 891-1000,Standalone Card Room
Turlock Poker Room,turlockpoker.com,"2321 W Main St",Turlock,CA,(209) 668-1010,Standalone Card Room
Garlic City Casino,garliccitycasino.com,"8630 San Ysidro Ave",Gilroy,CA,(408) 847-1606,Standalone Card Room
California Grand Casino,calgrandcasino.com,"5988 Pacheco Blvd",Pacheco,CA,(925) 685-8397,Standalone Card Room
Livermore Casino,livermorecasino.net,"3571 First St",Livermore,CA,(925) 447-1702,Standalone Card Room
Palace Poker Casino,palacepokercasino.com,"22821 Mission Blvd",Hayward,CA,(510) 582-1166,Standalone Card Room
19th Hole,19thholeantioch.com,"2746 W Tregallas Rd",Antioch,CA,(925) 757-6545,Standalone Card Room
Black Pearl Casino,blackpearlspokane.com,"2104 N Pines Rd",Spokane Valley,WA,(509) 290-5026,Standalone Card Room
Lancer Lanes,lancerlanes.com,"1250 Bridge St",Clarkston,WA,(509) 758-6731,Standalone Card Room
Lilac Lanes & Casino,lilaclanes.com,"1112 E Magnesium Rd",Spokane,WA,(509) 467-5228,Standalone Card Room
Clearwater Saloon & Casino,-,-,East Wenatchee,WA,-,Standalone Card Room
Club 48 Poker Room,-,-,Yakima,WA,-,Standalone Card Room
Fortune Poker Room,fortunepoker.com,"14500 Interurban Ave S",Tukwila,WA,(425) 277-7667,Standalone Card Room
