Venue Name,City,State,Venue Type,Address,Phone,Website,Email,PokerAtlas URL,Hours,Games Offered,Stakes,Tables,Offers Tournaments,Trust Score,Featured
Bellagio,Las Vegas,NV,casino,3600 S Las Vegas Blvd,702-693-7291,https://bellagio.mgmresorts.com,,https://www.pokeratlas.com/poker-room/bellagio,24/7,"NLH, PLO, Mixed, Stud","$1/$3, $2/$5, $5/$10, $10/$20, $25/$50",40,Yes,4.8,Yes
Aria,Las Vegas,NV,casino,3730 S Las Vegas Blvd,702-590-7667,https://aria.mgmresorts.com,,https://www.pokeratlas.com/poker-room/aria,24/7,"NLH, PLO, Mixed","$1/$3, $2/$5, $5/$10, $10/$20",24,Yes,4.7,Yes
Wynn,Las Vegas,NV,casino,3131 S Las Vegas Blvd,702-770-3385,https://wynnlasvegas.com,,https://www.pokeratlas.com/poker-room/wynn,24/7,"NLH, PLO, Mixed","$1/$3, $2/$5, $5/$10, $10/$20, $25/$50",28,Yes,4.9,Yes
Venetian,Las Vegas,NV,casino,3355 S Las Vegas Blvd,702-414-1320,https://venetianlasvegas.com,,https://www.pokeratlas.com/poker-room/venetian,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",37,Yes,4.6,Yes
Caesars Palace,Las Vegas,NV,casino,3570 S Las Vegas Blvd,702-731-7110,https://caesars.com,,https://www.pokeratlas.com/poker-room/caesars-palace,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",18,Yes,4.4,No
MGM Grand,Las Vegas,NV,casino,3799 S Las Vegas Blvd,702-891-7733,https://mgmgrand.mgmresorts.com,,https://www.pokeratlas.com/poker-room/mgm-grand,24/7,"NLH, PLO","$1/$2, $1/$3, $2/$5",16,Yes,4.3,No
Resorts World,Las Vegas,NV,casino,3000 S Las Vegas Blvd,702-676-7070,https://rwlasvegas.com,,https://www.pokeratlas.com/poker-room/resorts-world,24/7,"NLH, PLO","$1/$3, $2/$5, $5/$10",22,Yes,4.5,Yes
Paris,Las Vegas,NV,casino,3655 S Las Vegas Blvd,702-946-7000,https://caesars.com/paris-las-vegas,,https://www.pokeratlas.com/poker-room/paris,24/7,NLH,"$1/$2, $2/$5",10,Yes,4.1,No
Planet Hollywood,Las Vegas,NV,casino,3667 S Las Vegas Blvd,702-785-5555,https://caesars.com/planet-hollywood,,https://www.pokeratlas.com/poker-room/planet-hollywood,24/7,NLH,"$1/$2, $2/$5",12,Yes,4.0,No
Flamingo,Las Vegas,NV,casino,3555 S Las Vegas Blvd,702-733-3111,https://caesars.com/flamingo-las-vegas,,https://www.pokeratlas.com/poker-room/flamingo,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.9,No
Horseshoe LV,Las Vegas,NV,casino,3645 S Las Vegas Blvd,702-739-4111,https://caesars.com/horseshoe-las-vegas,,https://www.pokeratlas.com/poker-room/horseshoe-lv,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",30,Yes,4.5,Yes
The STRAT,Las Vegas,NV,casino,2000 S Las Vegas Blvd,702-380-7777,https://thestrat.com,,https://www.pokeratlas.com/poker-room/the-strat,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.8,No
Sahara,Las Vegas,NV,casino,2535 S Las Vegas Blvd,702-761-7000,https://saharalasvegas.com,,https://www.pokeratlas.com/poker-room/sahara,24/7,NLH,"$1/$2, $2/$5",6,Yes,3.7,No
Treasure Island,Las Vegas,NV,casino,3300 S Las Vegas Blvd,702-894-7111,https://treasureisland.com,,https://www.pokeratlas.com/poker-room/treasure-island,24/7,NLH,"$1/$2, $2/$5",6,Yes,3.8,No
Mirage,Las Vegas,NV,casino,3400 S Las Vegas Blvd,702-791-7111,https://mirage.mgmresorts.com,,https://www.pokeratlas.com/poker-room/mirage,24/7,NLH,"$1/$2, $2/$5",12,Yes,4.0,No
Mandalay Bay,Las Vegas,NV,casino,3950 S Las Vegas Blvd,702-632-7777,https://mandalaybay.mgmresorts.com,,https://www.pokeratlas.com/poker-room/mandalay-bay,24/7,NLH,"$1/$2, $2/$5",8,Yes,4.0,No
Golden Nugget,Las Vegas,NV,casino,129 Fremont St,702-385-7111,https://goldennugget.com/las-vegas,,https://www.pokeratlas.com/poker-room/golden-nugget,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,4.3,No
Binions,Las Vegas,NV,casino,128 Fremont St,702-382-1600,https://binions.com,,https://www.pokeratlas.com/poker-room/binions,24/7,NLH,$1/$2,8,Yes,3.9,No
Fremont,Las Vegas,NV,casino,200 Fremont St,702-385-3232,https://fremontcasino.com,,https://www.pokeratlas.com/poker-room/fremont,24/7,NLH,$1/$2,4,Yes,3.6,No
Four Queens,Las Vegas,NV,casino,202 Fremont St,702-385-4011,https://fourqueens.com,,https://www.pokeratlas.com/poker-room/four-queens,24/7,NLH,$1/$2,4,Yes,3.5,No
